LAKENAME,DOW,LakeChainName,ChainNum
PELTIER,2000400,Lino,1
GEORGE WATCH,2000500,Lino,2
MARSHAN,2000700,Lino,3
RICE,2000800,Lino,4
BALDWIN,2001300,Lino,5
LONG,62006702,Lino,6
BROWNIE,27003800,MPRB,1
CEDAR,27003900,MPRB,2
LAKE OF THE ISLES,27004000,MPRB,3
BDE MAKA SKA,27003100,MPRB,4
HARRIET,27001600,MPRB,5
HIAWATHA,27001800,MPRB,6
LUCY,10000700,Riley,1
ANN,10001200,Riley,2
SUSAN,10001300,Riley,3
RICE MARSH,10000100,Riley,4
RILEY,10000200,Riley,5
GRASS,62007400,Riley,6
WILLOW,62004000,StP,1
KOHLMAN,62000600,StP,2
GERVAIS,62000700,StP,3
KELLER,62001000,StP,4
ROUND,62001200,StP,5
PHALEN,62001300,StP,6
